翡翠装饰的阿兹特克	裝飾著翡翠的阿茲特克
赫克托·巴博萨	赫克托·巴伯沙
伊丽莎白·斯旺	伊莉莎白·史旺
托普卡普短剑	托普卡短劍
铁匠的安全帽	鐵匠的保護帽
飞行荷兰人号	幽冥飛船
国际标准时间	UTC
杰克·斯帕罗	傑克·史派羅
舍施尔弯刀	捨施爾彎刀
戴维·琼斯	深海閻王
乔卡曼绅士	賈卡紳士
客户端版本	系統版本
黃金貴賓	VVIP
活动编号	EventID
苹果商店	iTunes
钻石贵宾	SVVIP
扎尔丹娜	扎爾丹娜
侦察情报	偵察信息
精兵强将	將強兵精
战斗胜负	戰鬥成果
奖励说明	獎勵介紹
嚼饭喂人	嚼饭餵人
以肉喂虎	以肉餵虎
喂虎割肉	餵虎割肉
运营人员	GM
邮箱商城	Google Play Games
遇难船只	失事船隻
阿兹特克	科爾蒂斯
收获资源	收穫資源
船员列表	海盜目錄
筛子喂驴	篩子餵驢
不足畏惧	不足為懼
不法之徒	無法之徒
斧头海盗	斧頭屠殺者
宝物洞穴	寶藏洞穴，寶物洞穴
防御侦查	妨礙偵查
访问文件	檔案存取
联盟收割	聯盟搜刮
系统信息	通知
个性改装	非法改裝
黑珍珠	鬼盜船
横轴:	X:
回转力	迴轉力
波塞冬	波賽頓
巴博萨	巴伯沙
投弹手	炸彈狂
聚集地	集結地
最高级	精緻
清夫人	秦夫人
扎克瑞	扎克瑞
纵轴:	Y:
阿曼达	亞曼
收容所	監獄
服务器	伺服器
补给官	海盜總管
瓶子里	瓶子裡,裏
朗姆酒	蘭姆酒
尼普顿	涅普頓
吉布斯	吉卜
黑商	走私犯
布置	設置
苹果	Apple
通过	透過
土豆	馬鈴薯
夺取	掠奪
充值	儲值
出售	販賣
招抚	降服
铁链	鐵鍊
迁移	移動
枪手	砲手
节电	省電
账号	帳號
资深	老將
一只	一隻
鹰炮	鹰砲
饮喂	饮餵
唷喂	唷餵
维修	整修
喂吃	餵吃
邮箱	Email
邮箱	信箱
预兆	兆頭
预约	事前登錄
英语	English
燃烧	延燒
压迫	剝削
安卓	Android
按钮	按鍵
饿喂	饿餵
什么	什麽
市场	集市
承载	載有
承载	搭乘
修理	修復
手钩	掛鉤
关于	關于
想象	想像
饲喂	饲餵
祠庙	寺院
堡垒	碉堡
模具	磨具
网络	網路
玛丽	瑪莉
里面	裡面,裏邊
论坛	粉絲團
列表	目錄
登录	登入
冻喂	冻餵
图标	圖示
图鉴	圖鑑
对象	對像
技能	技術
给予	贈予
匱喂	匮餵
几率	機率
共享	分享
公测	CBT
哭泣	掉淚
谷歌	Google
阶位	位階
界面	介面
脸书	Facebook
建筑	建筑
家伙	傢伙
贵宾	VIP
周	週
