휴양지	休养胜地
선호하는 휴양지 투표하고 보상 받자!	选择自己喜欢的休养胜地后领取奖励吧！
선호하는 휴양지 투표하고 보상 받자!	选择自己喜欢的休养胜地后领取丰厚奖励吧！
선호하는 휴양지 투표하고 보상 받자!	选择喜欢的休养地并领取奖励吧！
부상	负伤
★시대가 원하는 고품격 전략 시뮬레이션!★	★以大航海时代为背景的精品模拟策略手游！★
대항해시대의 위대한 영주가 될 주인공은 바로 당신!	在游戏内您将扮演一名大航海时代伟大的领主！
나만의 전략으로 병력, 대포, 함대를 강화하고,	树立唯我独尊的战略、强化兵力和大炮、以及船队！
포격함, 장갑함으로 무장하여 강력한 군대의 수장이 되어보세요!	以炮击舰和装甲舰来武装，力争成为最强船队的首领！
◆ 당신이 찾던 해상 전략 시뮬레이션 게임!	◆  梦寐以求的经典海战策略模拟游戏！
• 병사, 함선, 무기를 내 전략에 맞추어 배치 가능	• 根据自己的战略，随心随欲布置士兵和舰船及武器！
• 인공지능 NPC 제국군과의 흥미진진한 전투	• 与人工智能NPC帝国军展开津津有味的战斗！
• 해상포격전, 해상백병전, 상륙포격전, 상륙백병전 리플레이 기능	• 海上炮战、海上白刃战、陆地炮战及陆地白刃战回放功能
• 적의 병사를 사로잡아 전향시키거나 석방이 가능한 포로 시스템	• 捕获敌军士兵可进行归顺或释放的俘虏系统！
• 전 세계 유저들과 즐기는 글로벌 전투 시스템	• 与全球玩家同服畅享的征战系统！
• 연맹원들과 협력하여 몬스터를 소탕하는 집결 전투	• 携手联盟成员一起扫荡怪物的集结战斗！
• 한국 동맹의 힘으로 보다 강력하게! 전투력 업그레이드 가능	• 加入联盟，可提高战斗力！变得更强！
지금, 병력을 갖추고 바다를 무대로 펼쳐지는 해상 전략, 전쟁 게임<오션 앤 엠파이어>에 참전하세요!	快来招兵买马，加入以海洋为背景的海战策略游戏《航海冲突》！
공식 홈페이지 : http://one.joycity.com/	官方网站 : http://one.joycity.com/
공식 카페 : http://cafe.naver.com/oceansandempires	官方微博 : http://weibo.com/6019170258/profile?topnav=1&wvr=6
공식 카페에서 최신소식을 만나보세요~!	请在官方微博查看最新消息！
당신의 소중한 리뷰가 큰 힘이 됩니다.	您的好评是对我们最大的鼓励。
